iter	Logloss
0	0.6800974168
1	0.6670109614
2	0.6560930116
3	0.6473033166
4	0.6386165985
5	0.6303884829
6	0.6230192068
7	0.6164018787
8	0.6092825552
9	0.6033680035
10	0.5978656656
11	0.5931117139
12	0.5887698162
13	0.5841171837
14	0.5798984414
15	0.5757233052
16	0.5706435199
17	0.5658925108
18	0.5625481264
19	0.5597377864
20	0.5563644556
21	0.5524490849
22	0.5491769601
23	0.5460359131
24	0.5428092051
25	0.5398237218
26	0.5373469514
27	0.5352748917
28	0.5335430392
29	0.5310881516
30	0.5292040507
31	0.5273926487
32	0.5255116168
33	0.5238914956
34	0.5224223578
35	0.5211282034
36	0.5197646389
37	0.5185580029
38	0.5171561249
39	0.5163616826
40	0.5153978691
41	0.5144008217
42	0.5131956703
