iter	Passed	Remaining
0	157	157016
1	166	83326
2	175	58252
3	183	45725
4	191	38166
5	200	33145
6	208	29550
7	216	26808
8	224	24666
9	232	23025
10	241	21675
11	249	20560
12	258	19592
13	267	18805
14	276	18124
15	285	17540
16	294	17047
17	304	16591
18	316	16326
19	324	15895
20	333	15556
21	343	15257
22	352	14973
23	361	14708
24	371	14507
25	380	14264
26	390	14069
27	400	13888
28	409	13721
29	419	13552
30	429	13435
31	439	13301
32	452	13268
33	464	13195
34	475	13114
35	486	13023
36	497	12937
37	508	12878
38	520	12816
39	531	12756
40	542	12698
41	555	12677
42	569	12666
